,NPD_FIELD_CODE,NPD_FACILITY_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL
0,0.0,0.0,0.0,0.7806465754609885,0.8928474235273318,0.8015982456775853,0.01215986875,0.24104312668836586,0.11207321812777732,0.26644499943161215,0.0,0.0,0.05400597812111475
1,0.0,0.0,0.0,0.7633539245534108,0.893285202758238,0.8136511465213588,0.030870154166666667,0.16060865612908154,0.0930844693296734,0.1776732900166198,0.0,0.0,0.05400597812111475
2,0.0,0.0,0.0,0.7634395155494291,0.8936120164746155,0.7979953673644491,0.019623652083333335,0.20029570821805068,0.10077202358422248,0.1302197119163823,0.0,0.0,0.05400597812111475
3,0.0,0.0,0.0,0.7640619429307006,0.8937030745546439,0.8175230568629808,0.0,0.15290483219010156,0.08695761071531698,0.16706913038430674,0.0,0.0,0.05400597812111475
4,0.0,0.0,0.0,0.7642529192553457,0.894188133942488,0.8382046700040015,0.31141855625000003,0.10135777147691633,0.09088191434780359,0.09814080373023563,0.0,0.0,0.05400597812111475
5,0.0,0.0,0.0,0.7640860633436249,0.8945966971699842,0.8663372792616924,0.0,0.030004435914580206,0.09433514327184504,0.012005833891046293,0.0,0.0,0.05400597812111475
6,0.0,0.0,0.0,0.7654525765392388,0.8932489822871336,0.8178533192628754,0.41235993958333333,0.156099477223352,0.0946885829793164,0.15142110256931451,0.0,0.0,0.05400597812111475
7,0.0,0.0,0.0,0.7667438863619186,0.891413811751175,0.7912557768094566,0.0,0.22684164556918698,0.10308611793519747,0.22963175476195022,0.0,0.0,0.05400597812111475
8,0.0,0.0,0.0,0.7680590650812252,0.8904487619981606,0.7505488545367297,0.004368616666666667,0.3331965392729193,0.10308237500334828,0.34769626480960536,0.0,0.0,0.05400597812111475
9,0.0,0.0,0.0,0.7894356615652035,0.8899317216854483,0.8176028471486697,0.004542847916666667,0.2261742556297189,0.10287458881526454,0.2294822256537649,0.0,0.0,0.05400597812111475
10,0.0,0.0,0.46,0.7580088543906705,0.9463070797463042,0.5920531230951649,0.20989748333333336,0.703369990204625,0.20529253064572114,0.5621486363260939,0.0,0.0,0.05400597812111475
11,0.0,0.0,0.96,0.7279418928605128,0.9801942320458875,0.5263248009716607,0.43343451250000004,0.7818894796118467,0.4057258052490666,0.6359451134582992,0.1072343764062975,0.1081831456690546,0.05400597812111475
12,0.0,0.0,0.96,0.6796971213498645,0.992088647667583,0.49450544747457054,0.47167523125000005,0.7223528279799033,0.6497363885403697,0.5690090882841286,0.198084803241468,0.19823455865934234,0.05400597812111475
13,0.0,0.0,0.96,0.6610923465980093,0.9941665341456453,0.48637954467230193,0.47732310208333334,0.688952447653574,0.6742282140808101,0.532126648133436,0.2631841716918364,0.2652060543026721,0.05400597812111475
14,0.0,0.0,0.96,0.6426920373042265,0.9951057126821805,0.4785650859767792,0.4853376875,0.6553595299906594,0.6902739423525622,0.494714043304951,0.2120505579339378,0.21299939796502393,0.05400597812111475
15,0.0,0.0,0.96,0.6217459031034303,0.9958512564726667,0.4695549661160627,0.49844502291666665,0.6174071406839398,0.7028551616622059,0.4523570247408102,0.2285363977387161,0.230390539941843,0.05400597812111475
16,0.0,0.0,0.96,0.6054913223104639,0.9958676040707892,0.4622604518311875,0.50296981875,0.5887174328481356,0.7157954239374167,0.42056469219226295,0.2291783062107192,0.23265623647360642,0.05400597812111475
17,0.0,0.0,0.96,0.5911159450098181,0.9957554634646407,0.4558546801497988,0.5073587854166667,0.5632301458836434,0.7255764066590117,0.3924138754767885,0.22850752883918155,0.23074643305730286,0.05400597812111475
18,0.0,0.0,0.96,0.5853883629613243,0.995259348231132,0.4532865694562728,0.5011391979166667,0.5531151961475104,0.7026757727415921,0.3816836396169101,0.21727413057912712,0.22117755907299988,0.05400597812111475
19,0.0,0.0,0.96,0.5867819330226353,0.9943877720242534,0.4543981171574063,0.4892679020833334,0.5543501706794178,0.6715423307445605,0.383576028434915,0.2081311802794849,0.2118562384640815,0.05400597812111475
20,0.0,0.0,0.96,0.5812262387837879,0.9942373910182687,0.45214199684016976,0.48938628958333336,0.5439469778332204,0.6670635429497185,0.372177977128438,0.20597110732607765,0.2088669611796235,0.05400597812111475
21,0.0,0.0,0.96,0.5820565134693475,0.993684009269138,0.45298401623265905,0.48303704583333334,0.5442298939252489,0.6496373211548905,0.3718110544361417,0.182390310918048,0.18525613484693496,0.05400597812111475
22,0.0,0.0,0.96,0.5804129550721049,0.9934866668402167,0.4527403920619035,0.4817349875,0.5400846424476363,0.6483606472039809,0.36844683580911697,0.17731787545277475,0.17695362885675928,0.05400597812111475
23,0.0,0.0,0.96,0.5799860983798452,0.993199560468116,0.45297640278910994,0.47466087916666666,0.5382541191337651,0.6232411609555983,0.36650216853461237,0.16475650781413184,0.16672435734898533,0.05400597812111475
24,0.0,0.0,0.96,0.5770379375236032,0.9933416428695573,0.45222954993528075,0.4784001958333333,0.5315990562326518,0.5871560986140718,0.3589061945736241,0.1606673131035935,0.1638559200837655,0.05400597812111475
25,0.0,0.0,0.96,0.5681815472301704,0.9940834578562434,0.4479555581069816,0.4900558229166667,0.5167219071305974,0.6296981439311157,0.34199912488680245,0.17029763835420103,0.17338921911091007,0.05400597812111475
