,NPD_FIELD_CODE,NPD_FACILITY_CODE,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_DP_TUBING,AVG_CHOKE_SIZE_P,AVG_WHP_P,AVG_WHT_P,DP_CHOKE_SIZE
2840,0.0,0.0,0.96,0.0,0.0,0.16953060029011074,0.5248133,0.39105198492308546,0.9432856061324889,0.17106277511523046
2841,0.0,0.0,0.96,0.0,0.0,0.16998617024410329,0.5232406625,0.3921028367131177,0.9293231513972063,0.172278100267055
2842,0.0,0.0,0.96,0.0,0.0,0.1691649282616751,0.5227817499999999,0.39020849842385813,0.9395732972584808,0.17039868748999146
2843,0.0,0.0,0.96,0.0,0.0,0.16993220965116312,0.5219111354166667,0.39197836716637646,0.9361907451362554,0.17332976717957999
2844,0.0,0.0,0.96,0.0,0.0,0.16908439222306335,0.5250017958333334,0.3900227279629321,0.9266390682329413,0.17057778572419716
2845,0.0,0.0,1.0,0.0,0.0,0.1662020823856996,0.531187624,0.38337417613137126,0.946718721788417,0.16193016136656072
2846,0.0,0.0,0.96,0.0,0.0,0.1645400140347926,0.5318981020833333,0.37954032474060295,0.954080747378294,0.15795442588838698
2847,0.0,0.0,0.96,0.0,0.0,0.16454146044731224,0.5330524770833334,0.37954366114409505,0.9233148278698161,0.15773684767557297
2848,0.0,0.0,0.96,0.0,0.0,0.16333734340186942,0.5330297958333333,0.3767661545470892,0.9464411850850323,0.15460705379129738
2849,0.0,0.0,0.96,0.0,0.0,0.16307398384646496,0.53344175,0.37615866966404665,0.9547743438410433,0.1540287228417556
2850,0.0,0.0,0.96,0.0,0.0,0.16263922473636036,0.5321675104166667,0.3751558217258051,0.9549611495593511,0.15320064968087968
2851,0.0,0.0,0.96,0.0,0.0,0.16215324591597566,0.5317567125,0.37403482656612996,0.9548746098558886,0.15192179043543827
2852,0.0,0.0,0.96,0.0,0.0,0.1620916579471474,0.5343305583333333,0.3738927631426745,0.9535710246705705,0.15195908543346134
